GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1150460985,20240109,202401,2024,2024.0247,TWN,TAIWAN,TWN,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,170,170,17,4,-7.0,288,35,288,0.97238687944033,4,"Chengchi, Jiangsu, China",CH,CH04,33.2833,118.017,-1938768,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20240109,https://www.mymotherlode.com/news/asia/3289144/hong-kongers-in-taiwan-firmly-support-the-ruling-party-after-watching-china-erode-freedoms-at-home.html,20240109013000,20240109024500,1,yahoo.com,https://finance.yahoo.com/news/hong-kongers-taiwan-firmly-support-010721191.html,1,434,318,326,1,80,6447,0.89374379344588,,
1150636616,20240109,202401,2024,2024.0247,TWNGOV,TAIWAN,TWN,,,,,GOV,,,CHN,CHINESE,CHN,,,,,,,,1,55,55,5,1,7.0,10,1,10,-3.74149659863946,4,"Taiwan Strait, Taiwan (general), Taiwan",TW,TW00,24.0,119.0,-2637942,4,"Taiwan Strait, Taiwan (general), Taiwan",TW,TW00,24.0,119.0,-2637942,4,"Taiwan Strait, Taiwan (general), Taiwan",TW,TW00,24.0,119.0,-2637942,20240109,https://news.yahoo.com/chinese-rocket-launch-rattles-taiwan-201826744.html,20240109214500,20240109214500,1,yahoo.com,https://news.yahoo.com/chinese-rocket-launch-rattles-taiwan-201826744.html,1,38,164,78,1,100,5388,-3.74149659863946,,
1150460985,20240109,202401,2024,2024.0247,TWN,TAIWAN,TWN,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,170,170,17,4,-7.0,288,35,288,0.97238687944033,4,"Chengchi, Jiangsu, China",CH,CH04,33.2833,118.017,-1938768,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20240109,https://www.mymotherlode.com/news/asia/3289144/hong-kongers-in-taiwan-firmly-support-the-ruling-party-after-watching-china-erode-freedoms-at-home.html,20240109013000,20240109013000,1,yahoo.com,https://news.yahoo.com/hong-kongers-taiwan-firmly-support-010721519.html,1,434,318,326,1,80,6447,0.89374379344588,,
1150585521,20240109,202401,2024,2024.0247,USA,PHILADELPHIA,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,42,42,4,1,1.9,254,31,253,3.52519765759746,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,20240109,https://news.yahoo.com/marin-alsop-become-philadelphia-orchestras-160109056.html,20240109163000,20240109163000,1,yahoo.com,https://news.yahoo.com/marin-alsop-become-philadelphia-orchestras-160109056.html,1,416,463,439,1,80,1536,3.64372469635628,,
1150484534,20240109,202401,2024,2024.0247,CHN,CHINESE,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,80,80,8,2,5.0,134,17,134,-1.18407263716597,4,"Xiamen, Fujian, China",CH,CH07,24.4798,118.082,-1931546,4,"Xiamen, Fujian, China",CH,CH07,24.4798,118.082,-1931546,4,"Xiamen, Fujian, China",CH,CH07,24.4798,118.082,-1931546,20240109,https://economictimes.indiatimes.com/news/international/world-news/taiwan-island-scarred-by-china-war-prepares-for-key-vote/articleshow/106654732.cms,20240109051500,20240109053000,1,yahoo.com,https://news.yahoo.com/taiwan-island-scarred-china-war-043031486.html,1,380,460,452,1,80,5273,-1.20918984280532,,
1150487206,20240109,202401,2024,2024.0247,TWN,TAIWAN,TWN,,,,,,,,CHN,BEIJING,CHN,,,,,,,,1,111,111,11,3,-2.0,150,15,150,-1.61880011212826,1,Hong Kong,HK,HK,22.25,114.166667,HK,1,Hong Kong,HK,HK,22.25,114.166667,HK,1,Hong Kong,HK,HK,22.25,114.166667,HK,20240109,https://www.rfi.fr/en/international-news/20240109-taiwan-poll-frontrunner-hits-out-at-beijing-interference,20240109053000,20240109060000,1,yahoo.com,https://news.yahoo.com/taiwan-poll-frontrunner-hits-beijing-043058865.html,1,0,36,24,1,100,2931,-1.67714884696017,,
1150509118,20240109,202401,2024,2024.0247,CHN,CHINA,CHN,,,,,,,,TWNPTY,TAIWAN,TWN,,,,,,,,1,46,46,4,1,7.0,110,11,110,1.22230221918165,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240109,https://www.winnipegfreepress.com/world/2024/01/09/taiwan-presidential-candidate-lai-says-he-is-willing-to-reopen-talks-with-china,20240109084500,20240109084500,1,yahoo.com,https://news.yahoo.com/taiwan-presidential-candidate-lai-says-081339920.html,1,82,0,71,1,100,3946,1.25391849529781,,
1150585367,20240109,202401,2024,2024.0247,TWNGOVPTY,TAIWAN,TWN,,,,,GOV,,,CHN,BEIJING,CHN,,,,,,,,1,111,111,11,3,-2.0,10,1,10,-5.7788944723618,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240109,https://news.yahoo.com/taiwan-ruling-party-candidate-slams-133453797.html,20240109163000,20240109163000,1,yahoo.com,https://news.yahoo.com/taiwan-ruling-party-candidate-slams-133453797.html,1,0,36,30,1,100,2601,-5.7788944723618,,
1150645369,20240109,202401,2024,2024.0247,CHN,CHINA,CHN,,,,,,,,USA,WASHINGTON,USA,,,,,,,,1,40,40,4,1,1.0,30,3,30,0.0,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240109,https://news.yahoo.com/us-china-defense-talks-resume-222141425.html,20240109230000,20240109230000,1,yahoo.com,https://news.yahoo.com/us-china-defense-talks-resume-222141425.html,1,3,51,43,1,100,3038,0.0,,
1150647220,20240109,202401,2024,2024.0247,CHN,CHINESE,CHN,,,,,,,,CHNMIL,CHINESE,CHN,,,,,MIL,,,1,46,46,4,1,7.0,120,12,120,-1.73823643715611,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240109,https://www.newsday.com/news/nation/China-US-military-talks-m49769,20240109231500,20240109233000,1,yahoo.com,https://news.yahoo.com/us-chinese-military-officers-resume-224619594.html,1,7,-1,33,1,100,3663,-1.86757215619695,,
