UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
05L9X65VBJ_IOXH5Q2YQODN3KB,Cold & poor air leading to a surge in respiratory illness: Docs,ET Bureau,"Last Updated: Jan 24, 2024, 08:51:00 AM IST",20240123,indiatimes.com,https://economictimes.indiatimes.com/news/india/cold-poor-air-leading-to-a-surge-in-respiratory-illness-docs/articleshow/107092283.cms,
07QGD9Q6VG_B5XWNAWB2YRPHK8,"Republic Day 2024: India shows off its top defence tech as Swathi radar, Sarvatra, Prachand, Nag march through Kartavya Path",ET Online,"Last Updated: Jan 26, 2024, 11:37:00 AM IST",20240126,indiatimes.com,https://economictimes.indiatimes.com/news/defence/republic-day-2024-india-shows-off-its-top-defence-tech-as-swathi-radar-sarvatra-prachand-nag-march-through-kartavya-path/articleshow/107162360.cms,
0GKGBEZJ0X_C3GZMM7CZE2C09T,Income tax laws need to recognize more cities as metros for HRA tax exemption: Will Budget 2024 include these?,ET CONTRIBUTORS,"Last Updated: Jan 25, 2024, 10:23:00 AM IST",20240125,indiatimes.com,https://economictimes.indiatimes.com/wealth/personal-finance-news/income-tax-laws-need-to-recognize-more-cities-as-metros-for-hra-tax-exemption-will-budget-2024-include-these/articleshow/107131862.cms,
0I8C7UWZ6M_0EJADHN1K5N6DZI,'Obligatory for women to serve their elderly mother-in-laws': Jharkhand HC quotes Manusmriti,ET Online,"Last Updated: Jan 25, 2024, 02:41:00 PM IST",20240125,indiatimes.com,https://economictimes.indiatimes.com/news/india/obligatory-for-women-to-serve-their-elderly-mother-in-laws-jharkhand-hc-quotes-manusmriti/articleshow/107132804.cms,
0JEMCWF39W_VHY8S4LKVL7POTI,Mallikarjun Kharge writes to Amit Shah about security issues during Rahul Gandhi Yatra in Assam,ET Bureau,"Last Updated: Jan 25, 2024, 12:36:00 AM IST",20240124,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/mallikarjun-kharge-writes-to-amit-shah-about-security-issues-during-rahul-gandhi-yatra-in-assam/articleshow/107124223.cms,
0RP1OFCCQ7_T4MHMRMCRJJS9HY,AU Small Finance Bank Q3 Results: Net profit falls 4% YoY to Rs 375 crore,ET Bureau,"Last Updated: Jan 25, 2024, 07:48:00 PM IST",20240125,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/au-small-finance-bank-q3-results-net-profit-falls-4-yoy-to-rs-375-crore/articleshow/107151729.cms,
0RSU250GIN_LUFIEPHD7G5H791,Chola Inv Finance shares down 0.54% as Nifty drops,ETMarkets.com,"Last Updated: Jan 25, 2024, 12:28:00 PM IST",20240125,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/chola-inv-finance-shares-down-0-54-as-nifty-drops/articleshow/107136565.cms,
0SMHYW75SY_FF4I8ID3H7L4IDE,"Ayodhya screening goes off peacefully in TN on court intervention; in Bengaluru, CM opens Ram temple",ET Bureau,"Last Updated: Jan 23, 2024, 10:44:00 AM IST",20240122,indiatimes.com,https://economictimes.indiatimes.com/news/india/ayodhya-screening-goes-off-peacefully-in-tn-on-court-intervention-in-bengaluru-cm-opens-ram-temple/articleshow/107058345.cms,
0T3U0LIDIS_ASK0JJVMYQRQYA5,"PM Modi reaches out to new voters, seeks support for clear mandate in 2024",ET Bureau,"Last Updated: Jan 25, 2024, 10:33:00 PM IST",20240125,indiatimes.com,https://economictimes.indiatimes.com/news/elections/lok-sabha/india/pm-modi-reaches-out-to-new-voters-seeks-support-for-clear-mandate-in-2024/articleshow/107153824.cms,
0X2ZEQIKZE_6ESFUL8WDWU2OT7,Google's special doodle on 75th R-Day shows India's transition from analogue to digital era,PTI,"Last Updated: Jan 26, 2024, 07:53:00 AM IST",20240126,indiatimes.com,https://economictimes.indiatimes.com/news/india/googles-special-doodle-on-75th-r-day-shows-indias-transition-from-analogue-to-digital-era/articleshow/107158603.cms,
