GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras,UniqueID
1152314183,20240118,202401,2024,2024.0493,PAK,PAKISTAN,PAK,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,190,190,19,4,-10.0,122,22,119,-6.46430892381708,5,"Balochistan, Balochistan, Pakistan",PK,PK02,28.4785,65.6436,-2755738,4,"Sistan, Gilan, Iran",IR,IR08,36.9573,49.849,10757482,5,"Balochistan, Balochistan, Pakistan",PK,PK02,28.4785,65.6436,-2755738,20240118,https://www.cnn.com/2024/01/18/world/iran-pakistan-attacks-tensions-explainer-intl-hnk/,20240118080000,20240118080000,1,cnn.com,https://edition.cnn.com/2024/01/18/world/iran-pakistan-attacks-tensions-explainer-intl-hnk/,1,13,4,26,1,90,9074,-5.68754499640029,,,FY9FVZQY0B_EZR5OKEQL42U4TF
1152386323,20240118,202401,2024,2024.0493,IGOEUREEC,EUROPEAN UNION,EUR,EEC,,,,IGO,,,HUN,HUNGARY,HUN,,,,,,,,1,71,71,7,2,7.4,190,17,190,-1.98751430727954,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20240118,https://finance.yahoo.com/news/european-union-institutions-gear-fight-141245848.html,20240118144500,20240118144500,1,yahoo.com,https://finance.yahoo.com/news/european-union-institutions-gear-fight-141245848.html,1,0,95,85,1,100,3443,-2.03735144312394,,,U2JSNGPLKI_WT8Z1DZCGZ8WI8J
1152432281,20240118,202401,2024,2024.0493,USAMED,REUTERS,USA,,,,,MED,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,311,31,3,1,5.2,20,2,20,0.816993464052288,5,"Hertfordshire, Hertfordshire, United Kingdom",UK,UKF8,51.8333,-0.25,-2598579,4,"Saint Giles, Devon, United Kingdom",UK,UKD4,50.6833,-4.33333,-2606855,5,"Hertfordshire, Hertfordshire, United Kingdom",UK,UKF8,51.8333,-0.25,-2598579,20240118,https://finance.yahoo.com/news/google-invest-1-billion-uk-180847648.html,20240118184500,20240118184500,1,yahoo.com,https://finance.yahoo.com/news/google-invest-1-billion-uk-180847648.html,1,57,152,87,1,100,690,0.840336134453782,,,YVE30UL2J2_3L7ILDDMC47N7E4
1152379530,20240118,202401,2024,2024.0493,IDN,INDONESIA,IDN,,,,,,,,MNCUSA,BOEING,USA,,,,,MNC,,,1,80,80,8,2,5.0,60,4,60,0.212314225053077,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20240118,https://www.streetinsider.com/Reuters/Indonesia+allows+Boeing+737+MAX+9+planes+to+fly+again+after+checks/22644563.html,20240118141500,20240118144500,1,yahoo.com,https://finance.yahoo.com/news/indonesia-allows-boeing-737-max-135904484.html,1,0,17,10,1,100,1176,0.0,,,E91QASULF5_AHT3DW59GZJFWJU
1152448241,20240118,202401,2024,2024.0493,GBRGOVMED,JEREMY HUNT,GBR,,,,,GOV,MED,,RUS,RUSSIA,RUS,,,,,,,,1,173,173,17,4,-5.0,20,2,20,-3.87685794822189,1,United Kingdom,UK,UK,54.0,-4.0,UK,1,United Kingdom,UK,UK,54.0,-4.0,UK,1,United Kingdom,UK,UK,54.0,-4.0,UK,20240118,https://www.telegraph.co.uk/business/2024/01/18/jeremy-hunt-vows-tackle-russian-money-laundering-uae/,20240118201500,20240118203000,1,yahoo.com,https://finance.yahoo.com/news/jeremy-hunt-vows-clamp-down-194143426.html,1,0,34,20,1,100,2524,-3.88127853881279,,,VQXWK4OG0O_KWCGXMW3CMVKFDW
1152345567,20240118,202401,2024,2024.0493,USA,JERSEY,USA,,,,,,,,CAN,CANADA,CAN,,,,,,,,1,111,111,11,3,-2.0,8,1,8,2.51572327044025,1,Jersey,JE,JE,49.216667,-2.116667,JE,1,Jersey,JE,JE,49.216667,-2.116667,JE,1,Canada,CA,CA,60.0,-96.0,CA,20240118,https://finance.yahoo.com/news/jersey-mikes-expanding-canada-iconic-101526829.html,20240118111500,20240118111500,1,yahoo.com,https://finance.yahoo.com/news/jersey-mikes-expanding-canada-iconic-101526829.html,1,0,25,55,1,80,939,2.51572327044025,,,LXR49HEDE2_300QOF4TIC36LJX
1152274932,20240118,202401,2024,2024.0493,JPNBUS,JAPAN,JPN,,,,,BUS,,,USA,AMERICAN,USA,,,,,,,,1,43,43,4,1,2.8,16,2,16,-7.00280112044818,4,"Tokyo, Tokyo, Japan",JA,JA40,35.685,139.751,-246227,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,4,"Tokyo, Tokyo, Japan",JA,JA40,35.685,139.751,-246227,20240118,https://www.kiro7.com/news/local/american-allegedly-bites-crew-member-seattle-flight/7SZJVDNKSVHBTAM7WUC4PS65AY/,20240118024500,20240118040000,1,yahoo.com,https://news.yahoo.com/american-allegedly-bites-crew-member-014532367.html,1,167,60,185,0,80,550,-7.14285714285714,,,BFW1N5JFCS_Y893UHZ7Q4TO0V0
1152273089,20240118,202401,2024,2024.0493,AUS,AUSTRALIA,AUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,120,120,12,3,-4.0,20,2,20,-2.40575396825396,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,4,"Sydney, New South Wales, Australia",AS,AS02,-33.8833,151.217,-1603135,20240118,https://news.yahoo.com/australia-rejects-china-comments-sonar-020946258.html,20240118023000,20240118023000,1,yahoo.com,https://news.yahoo.com/australia-rejects-china-comments-sonar-020946258.html,1,0,18,10,1,100,1769,-2.38095238095238,,,051J30JHRY_KWIW3LLZ5R8UG5I
1152314183,20240118,202401,2024,2024.0493,PAK,PAKISTAN,PAK,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,190,190,19,4,-10.0,122,22,119,-6.46430892381708,5,"Balochistan, Balochistan, Pakistan",PK,PK02,28.4785,65.6436,-2755738,4,"Sistan, Gilan, Iran",IR,IR08,36.9573,49.849,10757482,5,"Balochistan, Balochistan, Pakistan",PK,PK02,28.4785,65.6436,-2755738,20240118,https://www.cnn.com/2024/01/18/world/iran-pakistan-attacks-tensions-explainer-intl-hnk/,20240118080000,20240118131500,1,yahoo.com,https://news.yahoo.com/baluchistan-explosive-region-iran-pakistan-123056084.html,1,112,103,186,1,80,5051,-7.01754385964912,,,KRQFBJRHL1_B3APJQH07WF8UBO
1152440128,20240118,202401,2024,2024.0493,GBRGOV,UNITED KINGDOM,GBR,,,,,GOV,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,51,51,5,1,3.4,20,2,20,-4.47487011682311,5,"Lincolnshire, Lincolnshire, United Kingdom",UK,UKH7,53.1667,-0.25,-2601145,5,"Lincolnshire, Lincolnshire, United Kingdom",UK,UKH7,53.1667,-0.25,-2601145,5,"Lincolnshire, Lincolnshire, United Kingdom",UK,UKH7,53.1667,-0.25,-2601145,20240118,https://news.yahoo.com/bee-harming-pesticide-granted-emergency-190452611.html,20240118193000,20240118193000,1,yahoo.com,https://news.yahoo.com/bee-harming-pesticide-granted-emergency-190452611.html,1,71,-1,101,1,100,2723,-4.30839002267574,,,U33AWHSDCK_R17PRRXC3AJ6AML
