GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras,UniqueID
1150889978,20240111,202401,2024,2024.0301,AFR,AFRICA,AFR,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,1124,112,11,3,-2.0,168,31,168,-6.82202686990381,1,South Africa,SF,SF,-30.0,26.0,SF,1,South Africa,SF,SF,-30.0,26.0,SF,1,South Africa,SF,SF,-30.0,26.0,SF,20240111,https://www.naturalnews.com/2024-01-10-us-asserts-no-genocide-committed-in-gaza.html,20240111011500,20240111193000,1,cnn.com,https://edition.cnn.com/2024/01/11/middleeast/south-africa-israel-genocide-icj-hague-day-one-intl/,1,6,21,13,1,80,10767,-7.51924215512137,,,GEO3DUH0CZ_NA4STEQ83X7AEE7
1151011950,20240111,202401,2024,2024.0301,BEL,BRUSSELS,BEL,,,,,,,,EUR,EUROPE,EUR,,,,,,,,1,90,90,9,2,-2.0,10,1,10,2.83400809716599,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,20240111,https://edition.cnn.com/2024/01/11/tech/google-eu-antitrust-fine-uphold/,20240111143000,20240111143000,1,cnn.com,https://edition.cnn.com/2024/01/11/tech/google-eu-antitrust-fine-uphold/,1,80,180,289,1,100,1552,2.83400809716599,,,E1QK67DZSP_9LFEJ8EHFOMBCG9
1151085944,20240111,202401,2024,2024.0301,MNCUSA,EQT CORPORATION,USA,,,,,MNC,,,USA,HOUSTON,USA,,,,,,,,1,57,57,5,1,8.0,20,2,20,1.77669552669552,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,3,"Houston, Texas, United States",US,USTX,29.7633,-95.3633,1380948,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20240111,https://www.streetinsider.com/Business+Wire/Glenfarne+Energy+Transition%E2%80%99s+Texas+LNG+Announces+LNG+Tolling+Agreement+With+EQT/22624157.html,20240111213000,20240111214500,1,yahoo.com,https://finance.yahoo.com/news/glenfarne-energy-transition-texas-lng-211500982.html,1,410,81,373,1,100,2636,1.78571428571428,,,06U4JOIEKV_NKCCX28DW06H2ZJ
1151003299,20240111,202401,2024,2024.0301,MNCUSA,MICROSOFT,USA,,,,,MNC,,,EUR,EUROPE,EUR,,,,,,,,1,30,30,3,1,4.0,260,24,260,0.456034905657792,2,"Washington, United States",US,USWA,47.3917,-121.571,WA,2,"Washington, United States",US,USWA,47.3917,-121.571,WA,2,"Washington, United States",US,USWA,47.3917,-121.571,WA,20240111,https://www.winnipegfreepress.com/arts-and-life/life/sci-tech/2024/01/11/microsoft-lets-cloud-users-keep-personal-data-within-europe-to-ease-privacy-fears,20240111134500,20240111140000,1,yahoo.com,https://finance.yahoo.com/news/microsoft-lets-cloud-users-keep-131736716.html,1,1373,1444,1416,1,100,1630,0.38910505836576,,,W05S6DO6AN_NHEGYDVIUJM1JVK
1151076373,20240111,202401,2024,2024.0301,CHL,CHILE,CHL,,,,,,,,CHE,SWISS,CHE,,,,,,,,1,42,42,4,1,1.9,40,4,40,1.83193381916414,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20240111,https://www.streetinsider.com/Globe+Newswire/Santander+Chile+returns+to+the+Swiss+market+with+the+largest+placement+by+a+Chilean+issuer+since+2014/22623744.html,20240111203000,20240111204500,1,yahoo.com,https://finance.yahoo.com/news/santander-chile-returns-swiss-market-201500398.html,1,10,31,16,1,100,2426,1.86170212765958,,,J9QOLE3KHR_XSUPJ6U0ELGGTYK
1150889976,20240111,202401,2024,2024.0301,AFR,AFRICA,AFR,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,1124,112,11,3,-2.0,665,81,595,-6.97712180068466,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240111,https://www.naturalnews.com/2024-01-10-us-asserts-no-genocide-committed-in-gaza.html,20240111011500,20240111113000,1,yahoo.com,https://news.yahoo.com/africa-accuses-israel-breaching-genocide-102229114.html,1,2,17,9,1,100,4382,-7.72532188841201,,,XCG5FN1PRX_B5WJ44B7NNR1XGO
1151074974,20240111,202401,2024,2024.0301,RUSMIL,RUSSIA,RUS,,,,,MIL,,,RUS,RUSSIAN,RUS,,,,,,,,1,163,163,16,4,-8.0,10,1,10,-9.30232558139535,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20240111,https://news.yahoo.com/american-microchips-killing-ukrainians-190303333.html,20240111201500,20240111201500,1,yahoo.com,https://news.yahoo.com/american-microchips-killing-ukrainians-190303333.html,1,81,217,129,1,100,518,-9.30232558139535,,,5IVOMOBPZ9_CPELEW04VZ1ZLGG
1150904903,20240111,202401,2024,2024.0301,USA,CHICAGO,USA,,,,,,,,USACOP,CHICAGO,USA,,,,,COP,,,1,20,20,2,1,3.0,24,3,24,-2.79538380162913,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,3,"Chicago, Illinois, United States",US,USIL,41.85,-87.6501,423587,20240111,https://www.fox32chicago.com/news/antwanette-mcqueen-chicago-girl-missing,20240111024500,20240111053000,1,yahoo.com,https://news.yahoo.com/antwanette-mcqueen-chicago-girl-reported-010244681.html,1,69,77,96,1,100,426,-4.05405405405406,,,JQK3MIGKUS_F9XUJFXZB2PL2JG
1151054460,20240111,202401,2024,2024.0301,USAJUD,UNITED STATES,USA,,,,,JUD,,,BEL,BELGUM,BEL,,,,,,,,1,114,114,11,3,-2.0,32,4,32,-8.93070688280628,3,"Milwaukee, Wisconsin, United States",US,USWI,43.0389,-87.9065,1577901,3,"Milwaukee, Wisconsin, United States",US,USWI,43.0389,-87.9065,1577901,3,"Milwaukee, Wisconsin, United States",US,USWI,43.0389,-87.9065,1577901,20240111,https://news.yahoo.com/appleton-woman-charged-allegedly-producing-162842559.html,20240111181500,20240111181500,1,yahoo.com,https://news.yahoo.com/appleton-woman-charged-allegedly-producing-162842559.html,1,322,464,420,1,80,1312,-8.96226415094336,,,8UH4L6039C_JWF1Y4WX3A3STRB
1150896543,20240111,202401,2024,2024.0301,USA,PORTLAND,USA,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,42,42,4,1,1.9,20,2,20,2.2847438179246,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,3,"Hollywood, California, United States",US,USCA,34.0983,-118.327,1660757,20240111,https://www.koin.com/entertainment-news/the-black-stars-documentary-to-showcase-portland-nonprofits-transformative-expedition/,20240111014500,20240111030000,1,yahoo.com,https://news.yahoo.com/black-stars-documentary-showcase-portland-010425311.html,1,86,208,171,1,100,3057,1.55945419103314,,,CECGHM7ADI_UZXYA5LQB315QGE
