GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras,UniqueID
1150009063,20240106,202401,2024,2024.0164,RUS,RUSSIA,RUS,,,,,,,,PRK,NORTH KOREAN,PRK,,,,,,,,1,194,194,19,4,-10.0,30,1,30,-0.70778564206269,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20240106,https://www.cnn.com/2024/01/05/europe/russia-north-korean-missiles-ukraine-asia-intl-hnk-ml/,20240106004500,20240106014500,1,cnn.com,https://edition.cnn.com/2024/01/05/europe/russia-north-korean-missiles-ukraine-asia-intl-hnk-ml/,1,86,103,97,1,100,6463,-0.70778564206269,,,QO0VVC3Q5Q_DDM92120QNLLX1Z
1150033552,20240106,202401,2024,2024.0164,USABUS,ALASKA,USA,,,,,BUS,,,USA,OREGON,USA,,,,,,,,1,42,42,4,1,1.9,794,97,794,-1.57597537941803,3,"Portland, Oregon, United States",US,USOR,45.5235,-122.676,1136645,3,"Portland, Oregon, United States",US,USOR,45.5235,-122.676,1136645,3,"Portland, Oregon, United States",US,USOR,45.5235,-122.676,1136645,20240106,https://www.winnipegfreepress.com/breakingnews/2024/01/05/alaska-airlines-flight-makes-emergency-landing-in-oregon-after-window-and-chunk-of-fuselage-blow-out,20240106044500,20240106071500,1,yahoo.com,https://finance.yahoo.com/news/alaska-airlines-flight-makes-emergency-035312343.html,1,0,50,39,1,100,2638,-2.25733634311513,,,ULGLDL4DUH_JIMB2NCJ2GMS9GO
1150035440,20240106,202401,2024,2024.0164,JAM,JAMAICA,JAM,,,,,,,,CAN,CANADA,CAN,,,,,,,,1,43,43,4,1,2.8,50,5,50,-0.75608236993934,1,Jamaica,JM,JM,18.25,-77.5,JM,1,Canada,CA,CA,60.0,-96.0,CA,1,Jamaica,JM,JM,18.25,-77.5,JM,20240106,https://news.yahoo.com/aircraft-glitch-canadas-trudeau-return-041519356.html,20240106051500,20240106051500,1,yahoo.com,https://news.yahoo.com/aircraft-glitch-canadas-trudeau-return-041519356.html,1,65,24,53,1,80,927,-0.62893081761006,,,QC37NE6PB9_1GMM5E8L5YQEPPB
1150033552,20240106,202401,2024,2024.0164,USABUS,ALASKA,USA,,,,,BUS,,,USA,OREGON,USA,,,,,,,,1,42,42,4,1,1.9,794,97,794,-1.57597537941803,3,"Portland, Oregon, United States",US,USOR,45.5235,-122.676,1136645,3,"Portland, Oregon, United States",US,USOR,45.5235,-122.676,1136645,3,"Portland, Oregon, United States",US,USOR,45.5235,-122.676,1136645,20240106,https://www.winnipegfreepress.com/breakingnews/2024/01/05/alaska-airlines-flight-makes-emergency-landing-in-oregon-after-window-and-chunk-of-fuselage-blow-out,20240106044500,20240106071500,1,yahoo.com,https://news.yahoo.com/alaska-airlines-flight-makes-emergency-035312774.html,1,0,50,39,1,100,2638,-2.25733634311513,,,6PRO81207I_DG7LH1OMMDNCEUN
1150035696,20240106,202401,2024,2024.0164,USA,ALASKA,USA,,,,,,,,CAN,ONTARIO,CAN,,,,,,,,1,42,42,4,1,1.9,529,160,529,-3.08214470016356,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20240106,https://www.cbsnews.com/news/alaska-airlines-flight-forced-to-make-emergency-landing-after-window-panel-blows-out-mid-air/,20240106051500,20240106064500,1,yahoo.com,https://news.yahoo.com/alaska-airlines-flight-quickly-turned-040756916.html,1,72,133,122,1,80,535,0.0,,,GBUZGXT658_KJMSQMTAAC6NN56
1150040111,20240106,202401,2024,2024.0164,USABUS,ALASKA,USA,,,,,BUS,,,USA,ALASKA,USA,,,,,,,,1,60,60,6,2,6.0,54,6,54,-2.17954430934996,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20240106,https://www.hindustantimes.com/world-news/alaska-airlines-boeing-737-forced-to-make-emergency-landing-due-to-mid-air-window-blowout-101704516203832.html,20240106061500,20240106074500,1,yahoo.com,https://news.yahoo.com/alaska-airlines-plane-lands-portland-071858186.html,1,0,31,22,1,80,2722,-0.45351473922902,,,J9K97T0728_6XF5784DUUGDH6N
1150077383,20240106,202401,2024,2024.0164,ESP,SPAIN,ESP,,,,,,,,ESPOPP,SPAIN,ESP,,,,,OPP,,,1,20,20,2,1,3.0,30,3,30,-2.57026180691266,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,4,"Madrid, Madrid, Spain",SP,SP29,40.4,-3.68333,-390625,20240106,https://news.yahoo.com/anti-racists-slam-blackface-spains-115438267.html,20240106124500,20240106124500,1,yahoo.com,https://news.yahoo.com/anti-racists-slam-blackface-spains-115438267.html,1,111,167,178,1,100,4258,-2.55681818181819,,,F4Z4WWLRAZ_3ZBG0FHZ31AIQJW
1150099929,20240106,202401,2024,2024.0164,TUR,TURKEY,TUR,,,,,,,,ISR,ISRAELI,ISR,,,,,,,,1,40,40,4,1,1.0,38,6,38,-3.23142591665203,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240106,https://www.upi.com/Top_News/World-News/2024/01/06/turkey-Blinken-meets-Turkey-Erdogan-Israel-Hezbollah-fighting-escalates/8221704549680/,20240106163000,20240106164500,1,yahoo.com,https://news.yahoo.com/blinken-meets-turkeys-erdogan-israeli-151149263.html,1,26,44,15,1,100,4891,-1.59574468085106,,,N4CVHE5H6B_8GA3J4EG7TOKC1P
1150064031,20240106,202401,2024,2024.0164,TUR,ISTANBUL,TUR,,,,,,,,ISR,ISRAEL,ISR,,,,,,,,1,20,20,2,1,3.0,376,50,376,-3.84043005012552,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,1,West Bank,WE,WE,31.666667,35.25,WE,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240106,https://www.clickorlando.com/news/world/2024/01/06/blinken-opens-latest-urgent-mideast-tour-in-turkey-as-fears-grow-that-gaza-war-may-engulf-region/,20240106103000,20240106104500,1,yahoo.com,https://news.yahoo.com/blinken-opens-latest-urgent-mideast-100956911.html,1,107,258,188,1,80,4474,-3.87182910547397,,,5RUYFSF1UA_KXSALCCCRUHTC3L
1150120462,20240106,202401,2024,2024.0164,JOR,JORDAN,JOR,,,,,,,,QAT,QATAR,QAT,,,,,,,,1,36,36,3,1,4.0,10,1,10,-0.76335877862595,1,Egypt,EG,EG,27.0,30.0,EG,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,4,"Gaza, Israel (general), Israel",IS,IS00,31.4167,34.3333,-797156,20240106,https://news.yahoo.com/blinken-visits-greece-lightning-diplomatic-165525937.html,20240106203000,20240106203000,1,yahoo.com,https://news.yahoo.com/blinken-visits-greece-lightning-diplomatic-165525937.html,1,198,268,235,1,100,730,-0.76335877862595,,,26NV4MDP3G_56123DWUU9HCJRK
